Gene Name,CD Name,Common Name,NS Probe ID,Gene Class,Cell Type,IR Type,Immune Response Category,Annotation,Synonyms / Previous Symbols
ATF2,,ATF2,NM_001256090.1:336,Immune Response,,I,,Innate immune response,"CREB2, TREB7, CRE-BP1, HB16"
ATG10,,ATG10,NM_001131028.1:985,Immune Response,,,Transporter Functions,Genes responsible for protein transport,"APG10L, DKFZP586I0418, FLJ13954"
ATG12,,ATG12,NM_004707.2:25,Immune Response,,I,,Innate immune response,"APG12L, APG12"
ATG16L1,,ATG16L1,NM_198890.2:1975,Immune Response,,,Transporter Functions,"Autophagic vacuole formation, Genes responsible for protein transport","APG16L, ATG16L, WDR30, FLJ10035, ATG16A"
ATG5,,ATG5,NM_004849.2:1104,Immune Response,,I,,Innate immune response,"APG5L, ASP, APG5, hAPG5"
ATG7,,ATG7,NM_001136031.2:810,Immune Response,,,Transporter Functions,"Genes responsible for protein transport, Protein ubiquitination","APG7L, GSA7, DKFZp434N0735"
ATM,,ATM,NM_000051.3:30,Immune Response - Cell Type specific,,,Cell Cycle,"Cell Type specific, DNA damage checkpoint, Induction of apoptosis","ATA, ATDC, ATC, ATD, TEL1, TELO1"
AXL,,AXL,NM_021913.2:2190,Immune Response,,I,,Innate immune response,"UFO, JTK11"
BAGE,,BAGE,NM_001187.1:399,CT Antigen,,,,,"CT2.1, BAGE1"
BATF,,BATF,NM_006399.3:293,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific","B-ATF, SFA-2, BATF1"
BAX,,BAX,NM_138761.3:342,Immune Response,,,"Cell Cycle, Regulation",Co-Regulators of autophagy and apoptosis/cell cycle,BCL2L4
BCL10,,BCL10,NM_003921.2:1250,Immune Response,,A;I,,"Adaptive immune response, Innate immune response","CARMEN, CIPER, mE10, c-E10, CLAP"
BCL2,,BCL2,NM_000657.2:947,Immune Response - Cell Type specific,,,Cell Cycle,"Cell Type specific, G1/S transition of mitotic cell cycle","Bcl-2, PPP1R50"
BCL2L1,,Bcl-X,NM_001191.2:260,Immune Response,,I,,Innate immune response,"BCLX, BCL2L, Bcl-X, bcl-xL, bcl-xS, PPP1R52"
BCL6,,BCL6,NM_001706.2:675,Immune Response - Cell Type specific,,,Regulation,"Cell Type specific, Regulation of immune response","ZNF51, ZBTB27, LAZ3, BCL5, BCL6A"
BID,,BID,NM_001196.2:1875,Immune Response,,,"Cell Cycle, Regulation",Co-Regulators of autophagy and apoptosis/cell cycle,
BIRC5,,survivin,NM_001168.2:1215,Immune Response,,,Cell Cycle,G2 phase and G2/M transition,"API4, EPR-1, survivin"
BLK,,BLK,NM_001715.2:990,Immune Response - Cell Type specific,B-cells,,B-Cell Functions,"B-cell receptor signaling pathway, Cell Type specific",MGC10442
BLNK,,bca,NM_013314.2:930,Immune Response,,H,,Humoral immune response,"SLP65, Ly57, SLP-65, BLNK-s, BASH, bca"
BMI1,,BMI1,NM_005180.5:1145,Immune Response,,H,,Humoral immune response,"PCGF4, RNF51"
BST1,CD157,BST1,NM_004334.2:710,Immune Response,,H,,"CD molecules, Humoral immune response",CD157
BST2,CD317,BST2,NM_004335.2:560,Immune Response,,H;I,,"CD molecules, Humoral immune response, Innate immune response","CD317, tetherin"
BTK,,BTK,NM_000061.1:570,Immune Response,,A;I,,"Adaptive immune response, Innate immune response","AGMX1, IMD1, ATK, XLA, PSCTK1"
BTLA,CD272,BTLA,NM_181780.2:305,Immune Response - Checkpoint,,,Cell Functions,"Basic cell functions, CD molecules","BTLA1, CD272"
C1QA,,C1QA,NM_015991.2:718,Immune Response,,I,Complement,"Complement pathway, Innate immune response",
C1QB,,C1QB,NM_000491.3:819,Immune Response,,I,Complement,"Complement pathway, Innate immune response",
C1QBP,,p32,NM_001212.3:745,Immune Response,,F,Chemokines,"CD molecules, Chemokines and receptors, Inflammatory response","HABP1, gC1Q-R, gC1qR, p32, SF2p32"
C1R,,C1R,NM_001733.4:760,Immune Response,,I,Complement,"Complement pathway, Innate immune response",
C1S,,C1S,NM_001734.2:775,Immune Response,,I,Complement,"Complement pathway, Innate immune response",
C2,,C2,NM_000063.3:1075,Immune Response,,I,Complement,Innate immune response,
C3,,C3,NM_000064.2:4396,Immune Response,,I,Regulation,"Innate immune response, Regulation of immune response","CPAMD1, ARMD9, C3a, C3b"
C3AR1,,C3AR,NM_004054.2:415,Immune Response,,F,Regulation,Regulation of inflammatory response,"C3AR, AZ3B"
C4B,,C4B,NM_001002029.3:4437,Immune Response,,I,Complement,"Complement pathway, Innate immune response","CPAMD3, C4F, CO4, C4B1, C4B3, CH"
C4BPA,,C4BP,NM_000715.3:690,Immune Response,,I,Complement,"Complement pathway, Innate immune response",C4BP
C5,,C5,NM_001735.2:2592,Immune Response,,I,Complement,"Complement pathway, Innate immune response","CPAMD4, C5a, C5b"
C6,,C6,NM_000065.2:3170,Immune Response,,I,Complement,"Complement pathway, Innate immune response",
C7,,C7,NM_000587.2:310,Immune Response,,I,Complement,"Complement pathway, Innate immune response",
C8A,,C8A,NM_000562.2:690,Immune Response,,I,Complement,"Complement pathway, Innate immune response",
C8B,,C8B,NM_000066.2:620,Immune Response,,I,Complement,"Complement pathway, Innate immune response",
C8G,,C8G,NM_000606.2:407,Immune Response,,I,Complement,"Complement pathway, Innate immune response",
C9,,C9,NM_001737.3:602,Immune Response,,I,Complement,"Complement pathway, Innate immune response",
CAMP,,CAMP,NM_004345.3:220,Immune Response,,F,,Inflammatory response,"CAP18, FALL39, FALL-39, LL37"
CARD11,,CARD11,NM_032415.2:1075,Immune Response,,,Regulation,Regulation of immune response,"CARMA1, BIMP3"
CARD9,,CARD9,NM_052813.4:1525,Immune Response,,I,,Innate immune response,
CASP1,,CASP1,NM_001223.3:971,Immune Response,,I,,Innate immune response,"IL1BC, ICE"
CASP10,,CASP10,NM_032977.3:20,Immune Response,,I,,Innate immune response,MCH4
CASP3,,CASP3,NM_032991.2:685,Immune Response,,,"Cell Cycle, Regulation","Cell cycle checkpoint and cell cycle arrest, Co-Regulators of autophagy and apoptosis/cell cycle, Negative regulation of cell cycle","CPP32, CPP32B, Yama, apopain"
CASP8,,CASP8,NM_001228.4:301,Immune Response,,I,,Innate immune response,"MCH5, MACH, FLICE, Casp-8"
CC2D1B,,CC2D1B,NM_032449.2:4182,HK,,,,,KIAA1836
CCL1,,CCL1,NM_002981.1:157,Immune Response - Cell Type specific,,F,Chemokines,"Cell Type specific, Chemokines and receptors, Inflammatory response","SCYA1, I-309, TCA3, P500, SISe"
CCL11,,eotaxin,NM_002986.2:378,Immune Response,,F,Chemokines,"Chemokines and receptors, Chronic inflammatory response","SCYA11, eotaxin, MGC22554"
CCL13,,CCL13,NM_005408.2:320,Immune Response - Cell Type specific,DC,F,Chemokines,"Cell Type specific, Chemokines and receptors, Inflammatory response","SCYA13, MCP-4, NCC-1, SCYL1, CKb10, MGC17134"
CCL14,,CCL14,NM_032963.3:274,Immune Response,,,Chemokines,Chemokines and receptors,"SCYA14, HCC-1, HCC-3, NCC-2, SCYL2, CKb1, MCIF"
CCL15,,CCL15,NM_032965.3:112,Immune Response,,A;F,Chemokines,"Adaptive immune response, Chemokines and receptors, Inflammatory response","SCYA15, HCC-2, NCC-3, SCYL3, MIP-5, Lkn-1, MIP-1d, HMRP-2B"
CCL16,,CCL16,NM_004590.2:367,Immune Response,,F;H,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response, Humoral immune response","SCYA16, NCC-4, SCYL4, LEC, HCC-4, LMC, LCC-1, CKb12, Mtn-1"
CCL17,,CCL17,NM_002987.2:229,Immune Response - Cell Type specific,,,Chemokines,"Cell Type specific, Chemokines and receptors, Inflammatory response","SCYA17, TARC, ABCD-2"
CCL18,,CCL18,NM_002988.2:585,Immune Response,,,Chemokines,"Chemokines and receptors, Anti-inflammatory cytokines","SCYA18, DC-CK1, PARC, AMAC-1, DCCK1, MIP-4, CKb7"
CCL19,,CCL19,NM_006274.2:401,Immune Response,,,"Chemokines, Regulation","Chemokines and receptors, Anti-inflammatory cytokines, Regulation of inflammatory response","SCYA19, ELC, MIP-3b, exodus-3, CKb11"
CCL2,,MCP-1,NM_002982.3:123,Immune Response,,H,Chemokines,"Chemokines and receptors, Humoral immune response","SCYA2, MCP1, MCP-1, MCAF, SMC-CF, GDCF-2, HC11, MGC9434"
CCL20,,CCL20,NM_004591.1:35,Immune Response,,,Chemokines,Chemokines and receptors,"SCYA20, LARC, MIP-3a, exodus-1, ST38, CKb4"
CCL21,,CCL21,NM_002989.2:180,Immune Response,,,"Chemokines, Regulation","Chemokines and receptors, Anti-inflammatory cytokines, Regulation of inflammatory response","SCYA21, SLC, exodus-2, TCA4, CKb9, 6Ckine, ECL"
CCL22,,MDC,NM_002990.3:797,Immune Response - Cell Type specific,,,"Chemokines, Pathogen Defense","Cell Type specific, Chemokines and receptors, Defense response to virus","SCYA22, MDC, STCP-1, ABCD-1, DC/B-CK, A-152E5.1, MGC34554"
CCL23,,CCL23,NM_145898.1:336,Immune Response,,F,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","SCYA23, Ckb-8, MPIF-1, MIP-3, CKb8"
CCL24,,eotaxin-2,NM_002991.2:18,Immune Response,,F,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","SCYA24, Ckb-6, MPIF-2, eotaxin-2, MPIF2"
CCL25,,CCL25,NM_005624.2:325,Immune Response,,F,"Chemokines, Complement","Chemokines and receptors, Complement pathway, Inflammatory response","SCYA25, TECK, Ckb15"
CCL26,,CCL26,NM_006072.4:184,Immune Response,,F,Chemokines,"Chemokines and receptors, Inflammatory response","SCYA26, MIP-4alpha, eotaxin-3, IMAC, MIP-4a, TSC-1"
CCL27,,CCL27,NM_006664.2:304,Immune Response,,,Chemokines,Chemokines and receptors,"SCYA27, ALP, ILC, CTACK, skinkine, ESkine, PESKY, CTAK"
CCL28,,CCL28,NM_148672.2:100,Immune Response,,,Chemokines,Chemokines and receptors,"SCYA28, MEC, CCK1"
CCL3,,MIP-1-alpha,NM_002983.2:159,Immune Response,,F;H,"Chemokines, Regulation","Chemokines and receptors, Humoral immune response, Regulation of inflammatory response, T-cell polarization","SCYA3, G0S19-1, LD78ALPHA, MIP-1-alpha"
CCL3L1,,CCL3L1,NM_021006.4:421,Immune Response,,,Cytokines,Cytokines and receptors,"D17S1718, SCYA3L, SCYA3L1, G0S19-2, LD78BETA"
CCL4,,CCL4,NM_002984.2:35,Immune Response,,F,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","LAG1, SCYA4, MIP-1-beta, Act-2, AT744.1"
CCL5,,RANTES,NM_002985.2:280,Immune Response,,F;I,"Chemokines, Cytokines","Cytokines and receptors, Chronic inflammatory response, Chemokines and receptors, Acute-phase response, Inflammatory response, Innate immune response","D17S136E, SCYA5, RANTES, SISd, TCP228, MGC17164"
CCL7,,FIC,NM_006273.2:120,Immune Response - Cell Type specific,,F,Chemokines,"Cell Type specific, Chemokines and receptors, Inflammatory response","SCYA6, SCYA7, MCP-3, NC28, FIC, MARC, MCP3"
CCL8,,MCP-2,NM_005623.2:689,Immune Response,,F,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","SCYA8, MCP-2, HC14"
CCND3,,CCND3,NM_001760.2:1215,Immune Response,,,Cell Cycle,Regulation of cell cycle,
CCR1,CD191,CCR1,NM_001295.2:535,Immune Response,,F,"Chemokines, Cytokines, NK Cell Functions, Regulation, T-Cell Functions","CD molecules, Chemokines and receptors, Cytokines and receptors, Regulation of inflammatory response, T-cell polarization","SCYAR1, CMKBR1, CKR-1, MIP1aR, CD191"
CCR2,CD192,CCR2,NM_001123041.2:743,Immune Response - Cell Type specific,,F,Cytokines,"Cell Type specific, CD molecules, Cytokines and receptors, Inflammatory response","CMKBR2, CC-CKR-2, CKR2, MCP-1-R, CD192, FLJ78302"
CCR3,CD193,CCR3,NM_001837.2:980,Immune Response - Cell Type specific,,,Chemokines,"Cell Type specific, CD molecules, Chemokines and receptors","CMKBR3, CC-CKR-3, CKR3, CD193"
CCR4,CD194,ChemR13,NM_005508.4:35,Immune Response,,F,"Chemokines, Cytokines, Regulation, T-Cell Functions","CD molecules, Chemokines and receptors, Cytokines and receptors, Regulation of inflammatory response, T-cell polarization","CC-CKR-4, CMKBR4, CKR4, k5-5, ChemR13, CD194"
CCR5,CD195,CCR5,NM_000579.1:2730,Immune Response,,,"Cytokines, T-Cell Functions","CD molecules, Cytokines and receptors, T-cell polarization","CMKBR5, CKR-5, CC-CKR-5, CKR5, CD195, IDDM22"
CCR6,CD196,CCR6,NM_031409.2:935,Immune Response,,H;I,,"CD molecules, Humoral immune response, Innate immune response","STRL22, CKR-L3, GPR-CY4, CMKBR6, GPR29, DRY-6, DCR2, BN-1, CD196"
CCR7,CD197,CCR7,NM_001838.2:1610,Immune Response,,F;H,"Chemokines, Regulation","CD molecules, Chemokines and receptors, Humoral immune response, Regulation of inflammatory response","CMKBR7, EBI1, BLR2, CDw197, CD197"
CCR9,CDw199,CCR9,NM_031200.1:1095,Immune Response,,I,,"CD molecules, Innate immune response","GPR28, GPR-9-6, CDw199"
CCRL2,,CCRL2,NM_003965.4:1110,Immune Response,,F,Chemokines,"Chemokines and receptors, Inflammatory response","HCR, CRAM-B, CKRX, CRAM-A, ACKR5"
CD14,CD14,CD14,NM_000591.2:885,Immune Response,,I,,"CD molecules, Innate immune response",
CD160,CD160,CD160,NM_007053.2:500,Immune Response - Cell Type specific,,,Regulation,"Cell Type specific, CD molecules, Regulation of immune response","BY55, NK1, NK28"
CD163,CD163,CD163,NM_004244.4:1630,Immune Response,Macrophages,,Transporter Functions,"CD molecules, Phagocytosis","M130, MM130"
CD164,CD164,MUC-24,NM_006016.4:2575,Immune Response,,,,CD molecules,"MUC-24, MGC-24"
CD180,CD180,CD180,NM_005582.2:1036,Immune Response,,I,,"CD molecules, Innate immune response","LY64, RP105, Ly78"
CD19,CD19,CD19,NM_001770.4:1770,Immune Response - Cell Type specific,B-cells,,"B-Cell Functions, Regulation","B-cell receptor signaling pathway, Cell Type specific, CD molecules, Regulation of immune response",
CD1A,CD1A,CD1A,NM_001763.2:1815,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules",CD1
CD1B,CD1B,CD1B,NM_001764.2:1045,Immune Response - Cell Type specific,,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules",CD1
CD1C,CD1C,CD1C,NM_001765.2:750,Immune Response,,,T-Cell Functions,"CD molecules, T-cell activation",CD1
CD1D,CD1D,CD1D,NM_001766.3:1428,Immune Response,,,"B-Cell Functions, Cell Functions, T-Cell Functions","CD molecules, T-cell differentiation",
CD1E,CD1E,CD1E,NM_001042583.1:180,Immune Response - Cell Type specific,,,Antigen Processing,"Antigen processing and presentation, Cell Type specific, CD molecules",
CD2,CD2,CD2,NM_001767.3:687,Immune Response - Cell Type specific,,,"NK Cell Functions, T-Cell Functions","Cell Type specific, CD molecules, Leukocyte migration, T-cell activation, T-cell differentiation",SRBC
CD200,CD200,CD200,NM_005944.5:665,Immune Response,,,Regulation,"CD molecules, Regulation of immune response","MOX1, MOX2, MRC, OX-2"
CD207,CD207,Langerin,NM_015717.2:995,Immune Response,,,,CD molecules,"Langerin, CLEC4K"
CD209,CD209,CD209,NM_021155.2:1532,Immune Response - Cell Type specific,DC,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules","DC-SIGN, CDSIGN, DC-SIGN1, CLEC4L"
CD22,CD22,CD22,NM_001771.2:2515,Immune Response,,A,,"Adaptive immune response, CD molecules","SIGLEC-2, SIGLEC2"
CD24,CD24,CD24,NM_013230.2:95,Immune Response,,,,CD molecules,CD24A
CD244,CD244,CD244,NM_016382.2:1150,Immune Response,Exhausted CD8,,,CD molecules,"2B4, NAIL, NKR2B4, Nmrk, SLAMF4"
CD247,CD247,CD247,NM_198053.1:1490,Immune Response,,,Regulation,"CD molecules, Regulation of immune response","CD3Z, CD3H, CD3Q"
CD27,CD27,CD27,NM_001242.4:330,Immune Response - Checkpoint,,,"B-Cell Functions, T-Cell Functions","B-cell differentiation, CD molecules","TNFRSF7, S152, Tp55"
CD274,CD274,PD-L1,NM_014143.3:1245,Immune Response,,,"B-Cell Functions, Cell Functions, T-Cell Functions","CD molecules, T-cell polarization","PDCD1LG1, B7-H, B7H1, PD-L1, PDL1, B7-H1"
CD276,CD276,CD276,NM_001024736.1:2120,Immune Response,,,Regulation,"CD molecules, Regulation of immune response","B7-H3, B7H3, B7RP-2"
CD28,CD28,CD28,NM_001243078.1:2065,Immune Response - Cell Type specific / Checkpoint,,F;H,,"Cell Type specific, CD molecules, Humoral immune response, Inflammatory response to antigenic stimulus, T-cell activation, T-cell proliferation",
CD33,CD33,CD33,NM_001177608.1:730,Immune Response,,,,CD molecules,"SIGLEC3, SIGLEC-3, p67, FLJ00391"
CD34,CD34,CD34,NM_001025109.1:1580,Immune Response,,,Regulation,"CD molecules, Regulation of immune response",
CD36,CD36,CD36,NM_001001548.2:705,Immune Response,,,Transporter Functions,"CD molecules, Receptors involved in phagocytosis","SCARB3, GPIV, FAT, GP4, GP3B"
CD37,CD37,CD37,NM_001774.2:535,Immune Response,,A,,"Adaptive immune response, CD molecules",TSPAN26
CD38,CD38,CD38,NM_001775.2:460,Immune Response - Cell Type specific,,A,"B-Cell Functions, Regulation, T-Cell Functions","Adaptive immune response, Cell Type specific, CD molecules, Response to drug, Positive regulation of B-cell proliferation",
CD3D,CD3D,CD3D,NM_000732.4:110,Immune Response,T-cells,A,Regulation,"Adaptive immune response, CD molecules, Regulation of immune response",T3D
CD3E,CD3E,CD3E,NM_000733.2:75,Immune Response - Cell Type specific,T-cells,A,"B-Cell Functions, Cell Functions, T-Cell Functions","Adaptive immune response, Cell Type specific, CD molecules, T-cell anergy, T-cell differentiation, T-cell proliferation",
CD3EAP,CD3EAP,CD3EAP,NM_012099.1:555,Immune Response,,A,Regulation,"Adaptive immune response, CD molecules, Transcription factors","ASE-1, CAST, PAF49"
CD3G,CD3G,CD3G,NM_000073.2:404,Immune Response - Cell Type specific,T-cells,A,"Regulation, T-Cell Functions","Adaptive immune response, Cell Type specific, CD molecules, Regulation of immune response, T-cell activation",
CD4,CD4,CD4,NM_000616.4:975,Immune Response,,A;I,,"Adaptive immune response, CD molecules, Innate immune response",
CD40,CD40,CD40,NM_001250.4:1265,Immune Response,,A,Regulation,"Adaptive immune response, CD molecules, Regulation of immune response","TNFRSF5, p50, Bp50"
CD40LG,CD154,CD40L,NM_000074.2:1225,Immune Response - Checkpoint,,A,Regulation,"Adaptive immune response, CD molecules, Regulation of immune response","HIGM1, IMD3, TNFSF5, CD40L, TRAP, gp39, hCD40L, CD154"
CD44,CD44,CD44,NM_001001392.1:429,Immune Response,,,"Senescence, Transporter Functions","Phagocytosis recognition and engulfment, Senescence pathway","MIC4, MDU2, MDU3, IN, MC56, Pgp1, CD44R, HCELL, CSPG8"
CD46,CD46,CD46,NM_172350.1:365,Immune Response,,I,,"CD molecules, Innate immune response","MIC10, MCP, TRA2.10, MGC26544, TLX"
CD47,CD47,CD47,NM_001777.3:897,Immune Response,,,"Macrophage Functions, Regulation, T-Cell Functions, Transporter Functions","CD molecules, Phagocytosis recognition and engulfment, Regulators of T-cell activation","MER6, IAP, OA3"
CD48,CD48,CD48,NM_001778.2:270,Immune Response,,,,CD molecules,"BCM1, BLAST, mCD48, hCD48, SLAMF2"
CD5,CD5,CD5,NM_014207.2:1295,Immune Response,,A,"B-Cell Functions, Regulation, T-Cell Functions","Adaptive immune response, CD molecules, Regulators of Th1 and Th2 development","LEU1, T1"
CD53,CD53,CD53,NM_001040033.1:835,Immune Response,,A,,"CD molecules, Adaptive immune response","MOX44, TSPAN25"
CD55,CD55,CD55,NM_000574.3:101,Immune Response,,I,,"CD molecules, Innate immune response","DAF, CR, TC, CROM"
CD58,CD58,CD58,NM_001779.2:478,Immune Response,,A,,"Adaptive immune response, CD molecules",LFA3
CD59,CD59,CD59,NM_000611.4:730,Immune Response,,,,CD molecules,"MIC11, MIN1, MSK21, MIN2, MIN3, 16.3A5, EJ16, EJ30, EL32, G344, p18-20"
CD6,CD6,CD6,NM_006725.3:1280,Immune Response - Cell Type specific,T-cells,A,Cell Functions,"Adaptive immune response, Basic cell functions, Cell Type specific, CD molecules",Tp120
CD63,CD63,CD63,NM_001780.4:350,Immune Response,,,,CD molecules,"MLA1, ME491, TSPAN30"
CD68,CD68,CD68,NM_001251.2:1140,Immune Response - Cell Type specific,Macrophages,,Cell Functions,"Basic cell functions, Cell Type specific, CD molecules","SCARD1, macrosialin, GP110, DKFZp686M18236, LAMP4"
CD7,CD7,CD7,NM_006137.6:440,Immune Response,,A,"NK Cell Functions, Regulation, T-Cell Functions","Adaptive immune response, CD molecules, Regulators of T-cell activation, Regulators of Th1 and Th2 development","GP40, LEU-9, TP41, Tp40"
CD70,CD27L,CD70,NM_001252.2:190,Immune Response,,A,"B-Cell Functions, Cell Functions, Cytokines, T-Cell Functions, TNF Superfamily","Adaptive immune response, CD molecules, Cytokines and receptors, TNF superfamily members and their receptors","CD27LG, TNFSF7, CD27L"
CD74,CD74,CD74,NM_001025159.1:964,Immune Response,,A,,"Adaptive immune response, CD molecules",DHLAG
CD79A,CD79A,CD79A,NM_001783.3:695,Immune Response,,A,,"Adaptive immune response, CD molecules","IGA, MB-1"
CD79B,CD79B,CD79B,NM_021602.2:24,Immune Response,,A,B-Cell Functions,"Adaptive immune response, B-cell activation, CD molecules","IGB, B29"
CD80,CD28LG,CD80,NM_005191.3:1288,Immune Response,,A,"B-Cell Functions, Macrophage Functions, Regulation, T-Cell Functions","Adaptive immune response, B-cell activation, CD molecules, Regulators of T-cell activation, T-cell differentiation","CD28LG, CD28LG1, B7.1, B7-1"
CD81,CD81,CD81,NM_004356.3:735,Immune Response,,A,Regulation,"Adaptive immune response, CD molecules, Regulation of immune response","TAPA1, TAPA-1, TSPAN28"
CD83,CD83,CD83,NM_004233.3:1960,Immune Response,,H,,"CD molecules, Humoral immune response","HB15, BL11"
CD84,CD84,CD84,NM_001184879.1:28,Immune Response,Macrophages,,,CD molecules,"SLAMF5, hCD84, mCD84"
CD86,CD28LG2,CD86,NM_175862.3:1265,Immune Response,,A,"B-Cell Functions, Macrophage Functions, Regulation, T-Cell Functions","Adaptive immune response, CD molecules, Defense response to virus, Regulators of T-cell activation, Th1 & Th2 differentiation, T-cell differentiation","CD28LG2, B7.2, B7-2"
CD8A,CD8,CD8A,NM_001768.5:1320,Immune Response - Cell Type specific,CD8 T cells,A,"Antigen Processing, Pathogen Defense, T-Cell Functions","Adaptive immune response, Antigen processing and presentation, Cell Type specific, CD molecules, Defense response to virus, T-cell activation, T-cell differentiation",CD8
CD8B,CD8B,CD8B,NM_004931.3:440,Immune Response - Cell Type specific,CD8 T cells,A,"Regulation, T-Cell Functions","Adaptive immune response, Cell Type specific, CD molecules, Regulation of immune response, T-cell activation",CD8B1
CD9,CD9,CD9,NM_001769.2:405,Immune Response,,,,CD molecules,"MIC3, BA2, P24, TSPAN29, MRP-1"
CD96,CD96,CD96,NM_005816.4:1355,Immune Response,,,Regulation,"CD molecules, Regulation of immune response",TACTILE
CD97,CD97,CD97,NM_078481.2:1370,Immune Response,,F,,"CD molecules, Inflammatory response",TM7LN1
CD99,CD99,CD99,NM_002414.3:625,Immune Response,,,,CD molecules,MIC2
CDH1,CD324,CDH1,NM_004360.2:535,Immune Response,,,Regulation,"CD molecules, Regulation of immune response","UVO, uvomorulin, CD324"
CDH5,CD144,CD144,NM_001795.3:3405,Immune Response,,,,CD molecules,"7B4, CD144"
CDK1,,CDC2,NM_001786.4:178,Immune Response,,I,,Innate immune response,"CDC2, CDC28A"
CDKN1A,,P21,NM_000389.2:1975,Immune Response,,,"Cell Cycle, Regulation, Senescence","Cell cycle checkpoint and cell cycle arrest, Regulation of cell cycle, Senescence pathway, Senescence initiators interferon related","CDKN1, P21, CIP1, WAF1, SDI1, CAP20, p21CIP1, p21Cip1/Waf1"
CEACAM1,CD66a,CEACAM1,NM_001712.3:2455,Immune Response,,,Adhesion,"Adhesion, CD molecules","BGP, BGP1, CD66a"
CEACAM6,CD66c,CEACAM6,NM_002483.4:1217,Immune Response,,,Adhesion,"Adhesion, CD molecules","NCA, CD66c"
CEACAM8,CD66b,CD66b,NM_001816.3:825,Immune Response,,,"Adhesion, Chemokines","Adhesion, CD molecules, Chemokines and receptors","CGM6, CD66b"
CEBPB,,C/EBP-beta,NM_005194.2:1420,Immune Response,,,,Acute-phase response,"TCF5, LAP, CRP2, NFIL6, IL6DBP, C/EBP-beta"
CFB,,CFB,NM_001710.5:2029,Immune Response,,I,,Innate immune response,"BFD, BF, H2-Bf"
CFD,,CFD,NM_001928.2:859,Immune Response,,I,,Innate immune response,"DF, PFD, ADN"
CFI,,C3b-INA,NM_000204.3:1780,Immune Response,,I,,Innate immune response,"IF, FI, C3b-INA, KAF"
